island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Oshima,oshima4,1,222,700.0,960.5,0.0143,0.1351,strong,1.0,6.0,6.0,0.0,,
Oshima,oshima4,1,223,675.17,961.17,0.043,0.234,mixed,0.833,6.333,7.5,0.0,,
Oshima,oshima4,1,224,701.33,963.67,0.0215,0.1655,strong,1.0,4.333,4.0,0.0,,
Oshima,oshima4,1,225,865.57,964.71,0.0502,0.2528,mixed,0.857,2.571,2.0,0.0,,
Oshima,oshima4,1,226,711.52,968.61,0.2222,0.5319,mixed,0.839,4.29,3.0,0.0,,
Oshima,oshima4,1,227,601.29,970.57,0.0502,0.2528,mixed,0.857,6.714,8.0,0.0,,
Oshima,oshima4,1,228,853.87,971.92,0.2724,0.5889,mixed,0.947,5.789,5.0,0.0,,
Oshima,oshima4,1,229,742.5,975.29,0.1004,0.3575,mixed,0.714,2.714,3.0,0.0,,
Oshima,oshima4,1,230,608.33,979.67,0.0215,0.1655,mixed,0.333,1.667,1.0,0.0,,
Oshima,oshima4,1,231,841.41,980.67,0.2796,0.5966,mixed,0.872,3.436,4.0,0.0,,
Oshima,oshima4,1,232,744.52,986.29,0.1505,0.4378,mixed,0.81,3.524,3.0,0.0,,
Oshima,oshima4,1,233,751.33,987.67,0.0215,0.1655,mixed,0.333,1.333,1.0,0.0,,
Oshima,oshima4,1,234,733.18,988.73,0.0789,0.3169,mixed,0.818,4.182,4.0,0.0,,
Oshima,oshima4,1,235,596.75,989.67,0.2867,0.6042,mixed,0.875,6.725,7.0,0.0,,
Oshima,oshima4,1,236,870.07,989.96,0.4014,0.7149,mixed,0.821,5.286,5.0,0.0,,
Oshima,oshima4,1,237,688.0,992.0,0.0215,0.1655,mixed,0.333,1.333,1.0,0.0,,
Oshima,oshima4,1,238,696.5,992.0,0.0143,0.1351,strong,1.0,7.0,7.0,0.0,,
Oshima,oshima4,1,239,718.8,992.9,0.2151,0.5233,mixed,0.967,9.467,9.5,0.0,,
Oshima,oshima4,1,240,704.2,1000.5,0.0717,0.3021,mixed,0.9,3.6,3.5,0.0,,
Oshima,oshima4,1,241,867.0,1003.5,0.0143,0.1351,mixed,0.5,1.5,1.5,0.0,,
Oshima,oshima4,1,242,854.71,1006.53,0.1219,0.3939,mixed,0.706,1.941,2.0,0.0,,
Oshima,oshima4,1,243,594.6,1008.4,0.0358,0.2136,weak_recovered,0.0,-1.2,-1.0,0.0,,
Oshima,oshima4,1,244,867.0,1016.5,0.0143,0.1351,weak_recovered,0.0,1.0,1.0,0.0,,
Oshima,oshima4,1,245,597.0,1026.0,0.0358,0.2136,weak_recovered,0.0,0.6,0.0,0.0,,
Oshima,oshima4,1,246,895.5,1104.0,0.0143,0.1351,weak_recovered,0.0,-2.0,-2.0,0.0,,
Oshima,oshima4,1,,810.34,624.0,0.8315,1.029,oxidized_recovered,0.0,-20.198,-22.0,,,
Oshima,oshima4,1,,822.0,632.9,0.0717,0.3021,oxidized_recovered,0.0,-2.0,-2.5,,,
