island,sheet,corolla_id,spot_id,cx,cy,area_mm2,equivalent_diameter_mm,detection_class,strong_pixel_fraction,mean_a_minus_b,median_a_minus_b,brown_overlap_pct,large_cluster_check,exclude_FILL
Niijima,niijima2,1,,187.17,1092.67,0.043,0.234,oxidized_recovered,0.0,4.0,4.0,,,
Niijima,niijima2,1,,308.5,1093.0,0.0143,0.1351,oxidized_recovered,0.0,-2.0,-2.0,,,
Niijima,niijima2,1,,173.0,1093.5,0.0143,0.1351,oxidized_recovered,0.0,5.0,5.0,,,
Niijima,niijima2,1,,253.5,1093.5,0.0287,0.1911,oxidized_recovered,0.0,-12.75,-12.5,,,
Niijima,niijima2,1,,176.85,1093.69,0.0932,0.3445,oxidized_recovered,0.0,3.923,4.0,,,
Niijima,niijima2,1,,291.67,1094.33,0.0215,0.1655,oxidized_recovered,0.0,-5.333,-6.0,,,
Niijima,niijima2,1,,275.48,1095.14,0.1505,0.4378,oxidized_recovered,0.0,-11.429,-11.0,,,
Niijima,niijima2,1,,330.53,1096.53,0.1219,0.3939,oxidized_recovered,0.0,-2.824,-1.0,,,
Niijima,niijima2,1,,252.5,1097.0,0.0143,0.1351,oxidized_recovered,0.0,-8.0,-8.0,,,
Niijima,niijima2,1,,344.71,1097.98,0.595,0.8704,oxidized_recovered,0.0,-13.325,-13.0,,,
Niijima,niijima2,1,,219.75,1098.17,0.086,0.3309,oxidized_recovered,0.0,-0.833,-1.0,,,
Niijima,niijima2,1,,147.5,1098.5,0.0143,0.1351,oxidized_recovered,0.0,10.5,10.5,,,
Niijima,niijima2,1,,284.0,1098.5,0.0143,0.1351,oxidized_recovered,0.0,-1.0,-1.0,,,
Niijima,niijima2,1,,187.0,1098.71,0.0502,0.2528,oxidized_recovered,0.0,-0.286,0.0,,,
Niijima,niijima2,1,,243.53,1098.97,0.5161,0.8107,oxidized_recovered,0.0,-8.236,-7.5,,,
Niijima,niijima2,1,,328.5,1099.0,0.0143,0.1351,oxidized_recovered,0.0,-16.5,-16.5,,,
Niijima,niijima2,1,,274.5,1100.0,0.0143,0.1351,oxidized_recovered,0.0,-26.0,-26.0,,,
Niijima,niijima2,1,,267.09,1101.75,0.2294,0.5404,oxidized_recovered,0.0,-23.562,-23.0,,,
Niijima,niijima2,1,,296.1,1102.5,0.0717,0.3021,oxidized_recovered,0.0,1.9,2.0,,,
Niijima,niijima2,1,,314.5,1103.0,0.0143,0.1351,oxidized_recovered,0.0,-6.5,-6.5,,,
Niijima,niijima2,1,,276.5,1103.5,0.043,0.234,oxidized_recovered,0.0,-28.167,-28.0,,,
Niijima,niijima2,1,,306.21,1103.62,0.2079,0.5145,oxidized_recovered,0.0,-5.552,-6.0,,,
Niijima,niijima2,1,,160.75,1105.25,0.0287,0.1911,oxidized_recovered,0.0,11.0,11.0,,,
Niijima,niijima2,1,,256.01,1105.98,0.6308,0.8962,oxidized_recovered,0.0,-11.852,-11.0,,,
Niijima,niijima2,1,,178.5,1106.0,0.0143,0.1351,oxidized_recovered,0.0,0.5,0.5,,,
Niijima,niijima2,1,,286.92,1106.39,0.2581,0.5732,oxidized_recovered,0.0,-11.222,-11.0,,,
Niijima,niijima2,1,,145.33,1106.67,0.0215,0.1655,oxidized_recovered,0.0,7.0,8.0,,,
Niijima,niijima2,1,,264.33,1107.33,0.0215,0.1655,oxidized_recovered,0.0,-26.0,-26.0,,,
Niijima,niijima2,1,,319.88,1107.76,0.1219,0.3939,oxidized_recovered,0.0,-8.882,-10.0,,,
Niijima,niijima2,1,,164.0,1110.5,0.0143,0.1351,oxidized_recovered,0.0,13.0,13.0,,,
Niijima,niijima2,1,,331.47,1111.08,0.7885,1.002,oxidized_recovered,0.0,-6.818,-6.0,,,
Niijima,niijima2,1,,306.0,1111.67,0.0215,0.1655,oxidized_recovered,0.0,-2.0,-2.0,,,
Niijima,niijima2,1,,342.29,1112.59,0.1219,0.3939,oxidized_recovered,0.0,-14.235,-14.0,,,
Niijima,niijima2,1,,192.82,1112.63,1.4409,1.3545,oxidized_recovered,0.0,-3.96,-4.0,,,
Niijima,niijima2,1,,270.95,1113.1,0.1434,0.4273,oxidized_recovered,0.0,-28.95,-29.5,,,
Niijima,niijima2,1,,247.88,1113.5,0.1147,0.3821,oxidized_recovered,0.0,-3.938,-4.0,,,
Niijima,niijima2,1,,324.0,1113.5,0.0143,0.1351,oxidized_recovered,0.0,-4.0,-4.0,,,
Niijima,niijima2,1,,295.0,1114.0,0.0215,0.1655,oxidized_recovered,0.0,0.333,0.0,,,
Niijima,niijima2,1,,147.38,1114.42,0.1864,0.4871,oxidized_recovered,0.0,5.308,5.0,,,
Niijima,niijima2,1,,141.5,1115.0,0.0143,0.1351,oxidized_recovered,0.0,8.5,8.5,,,
